Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64;Column65;Column66;Column67;Column68;Column69;Column70;Column71;Column72;Column73;Column74;Column75;Column76;Column77;Column78;Column79;Column80;Column81;Column82;Column83;Column84;Column85;Column86;Column87;Column88;Column89;Column90;Column91;Column92;Column93;Column94;Column95;Column96;Column97;Column98;Column99;Column100;Column101;Column102;Column103;Column104;Column105;Column106;Column107;Column108;Column109;Column110;Column111;Column112;Column113;Column114;Column115;Column116;Column117;Column118;Column119;Column120;Column121;Column122;Column123;Column124;Column125;Column126;Column127;Column128;Column129;Column130;Column131;Column132;Column133;Column134;Column135;Column136;Column137;Column138;Column139;Column140;Column141;Column142;Column143;Column144;Column145;Column146;Column147;Column148;Column149;Column150;Column151;Column152;Column153;Column154;Column155;Column156;Column157;Column158;Column159;Column160;Column161;Column162;Column163;Column164;Column165;Column166;Column167;Column168;Column169;Column170;Column171;Column172;Column173;Column174;Column175;Column176;Column177;Column178;Column179;Column180;Column181;Column182;Column183;Column184;Column185;Column186;Column187;Column188;Column189;Column190;Column191;Column192;Column193;Column194;Column195;Column196;Column197;Column198;Column199;Column200;Column201
iter1;24504;23743;22784;22784;22784;22454;22454;22454;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388;22388
iter2;22923;22923;22923;22885;22859;22859;22859;22859;22859;22859;22859;22802;22802;22802;22802;22802;22802;22802;22802;22802;22802;22802;22802;22802;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22735;22728;22728;22728;22728;22728;22728;22728;22728;22728;22716;22558;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546;22546
iter3;24123;24123;24123;23896;23896;23896;23896;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23775;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192;23192
iter4;24279;24242;24242;24242;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116;23116
iter5;22983;22983;22983;22983;22983;22983;22983;22983;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936;22936
iter6;23491;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503;22503
iter7;22771;22771;22664;22602;22602;22602;22602;22589;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478;22478
iter8;23310;22764;22764;22764;22764;22764;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402;22402
iter9;24474;24474;24474;24474;24474;24185;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434;23434
;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889;23650,88889
